"gender","age","state","left_right_position","most_important_issues_2022","vote_2022"
"Male",78,"New South Wales",5,"Health and Medicare","Labor"
"Female",58,"New South Wales",2,"Education","Labor"
"Male",57,"New South Wales",5,"The environment","Labor"
"Male",60,"New South Wales",5,"Taxation","Labor"
"Female",38,"New South Wales",4,"Health and Medicare","Liberal"
"Male",82,"New South Wales",8,"The cost of living","Liberal"
"Male",78,"New South Wales",3,"Education","Labor"
"Male",50,"New South Wales",5,"Education","Labor"
"Female",56,"New South Wales",5,"Management of the economy","Labor"
"Female",28,"New South Wales",4,"The cost of living","Labor"
"Female",73,"New South Wales",5,"Health and Medicare","Labor"
"Male",74,"New South Wales",8,"Global warming","Liberal"
"Female",40,"New South Wales",5,"The cost of living","Labor"
"Female",41,"New South Wales",5,"Health and Medicare","Liberal"
"Female",44,"New South Wales",4,"The environment","Labor"
"Male",56,"New South Wales",7,"Management of the economy","Liberal"
"Female",28,"New South Wales",7,"The cost of living","Labor"
"Male",64,"New South Wales",6,"Management of the economy","Liberal"
"Female",60,"New South Wales",5,"Education","Liberal"
"Male",53,"New South Wales",5,"Health and Medicare","Liberal"
"Female",32,"New South Wales",6,"Immigration","Labor"
"Male",84,"New South Wales",8,"Management of the economy","Liberal"
"Female",68,"New South Wales",4,"Management of the economy","Liberal"
"Female",64,"New South Wales",5,"The cost of living","Labor"
"Female",51,"New South Wales",6,"Management of the economy","Liberal"
"Female",53,"New South Wales",5,"The cost of living","Labor"
"Female",79,"New South Wales",5,"National security","Liberal"
"Male",58,"New South Wales",1,"Global warming","Labor"
"Male",79,"New South Wales",5,"Global warming","Labor"
"Female",54,"New South Wales",5,"The cost of living","Liberal"
"Female",65,"New South Wales",3,"The environment","Labor"
"Female",73,"New South Wales",5,"Education","Labor"
"Male",67,"New South Wales",6,"Management of the economy","Liberal"
"Female",45,"New South Wales",3,"The environment","Labor"
"Male",66,"New South Wales",2,"Global warming","Labor"
"Male",22,"New South Wales",5,"The environment","Labor"
"Male",65,"New South Wales",8,"Taxation","Liberal"
"Female",64,"New South Wales",1,"Management of the economy","Liberal"
"Male",62,"New South Wales",8,"Management of the economy","Liberal"
"Male",58,"New South Wales",4,"The cost of living","Labor"
"Male",84,"New South Wales",5,"The cost of living","Labor"
"Female",60,"New South Wales",5,"Management of the economy","Liberal"
"Female",62,"New South Wales",7,"Health and Medicare","Labor"
"Female",33,"New South Wales",4,"The cost of living","Labor"
"Female",46,"New South Wales",2,"The COVID-19 pandemic","Liberal"
"Male",60,"New South Wales",10,"The cost of living","Labor"
"Female",87,"New South Wales",4,"Health and Medicare","Labor"
"Male",33,"New South Wales",5,"Management of the economy","Labor"
"Female",52,"New South Wales",0,"Global warming","Labor"
"Male",67,"New South Wales",8,"Health and Medicare","Labor"
"Female",32,"New South Wales",6,"The cost of living","Liberal"
"Female",41,"New South Wales",2,"Global warming","Labor"
"Male",89,"New South Wales",2,"Global warming","Labor"
"Male",68,"New South Wales",3,"National security","Labor"
"Female",82,"New South Wales",8,"Taxation","Liberal"
"Female",23,"New South Wales",8,"The cost of living","Liberal"
"Female",30,"New South Wales",7,"Health and Medicare","Labor"
"Female",32,"New South Wales",6,"Management of the economy","Labor"
"Female",36,"New South Wales",3,"The environment","Labor"
"Female",72,"New South Wales",5,"Taxation","Liberal"
"Female",55,"New South Wales",9,"The environment","Liberal"
"Female",65,"New South Wales",5,"The cost of living","Labor"
"Female",50,"New South Wales",7,"Management of the economy","Liberal"
"Female",69,"New South Wales",5,"The cost of living","Labor"
"Male",73,"New South Wales",4,"Global warming","Labor"
"Male",56,"New South Wales",4,"Global warming","Labor"
"Female",49,"New South Wales",4,"The environment","Labor"
"Female",55,"New South Wales",5,"The cost of living","Liberal"
"Female",39,"New South Wales",4,"The cost of living","Labor"
"Female",49,"New South Wales",7,"Education","Labor"
"Female",76,"New South Wales",9,"National security","Liberal"
"Female",64,"New South Wales",2,"Health and Medicare","Labor"
"Male",86,"New South Wales",8,"Education","Liberal"
"Female",72,"New South Wales",8,"Education","Liberal"
"Female",65,"New South Wales",5,"Health and Medicare","Labor"
"Male",60,"New South Wales",5,"Taxation","Liberal"
"Male",77,"New South Wales",8,"Management of the economy","Liberal"
"Male",29,"New South Wales",3,"The cost of living","Labor"
"Female",74,"New South Wales",6,"Management of the economy","Liberal"
"Female",66,"New South Wales",5,"Health and Medicare","Labor"
"Male",72,"New South Wales",5,"Taxation","Labor"
"Male",90,"New South Wales",7,"Management of the economy","Liberal"
"Male",74,"New South Wales",8,"Taxation","Liberal"
"Male",45,"New South Wales",8,"The cost of living","Liberal"
"Female",50,"New South Wales",5,"The environment","Liberal"
"Female",69,"New South Wales",5,"National security","Labor"
"Male",58,"New South Wales",5,"The cost of living","Liberal"
"Female",47,"New South Wales",7,"National security","Liberal"
"Male",77,"New South Wales",9,"National security","Liberal"
"Female",33,"New South Wales",6,"The cost of living","Labor"
"Female",20,"New South Wales",6,"The cost of living","Labor"
"Female",27,"New South Wales",5,"The cost of living","Labor"
"Male",56,"New South Wales",4,"Global warming","Labor"
"Male",65,"New South Wales",5,"Management of the economy","Liberal"
"Female",72,"New South Wales",4,"Taxation","Labor"
"Male",28,"New South Wales",5,"The cost of living","Labor"
"Female",45,"New South Wales",4,"Taxation","Labor"
"Female",86,"New South Wales",4,"Global warming","Labor"
"Female",66,"New South Wales",3,"Health and Medicare","Liberal"
"Female",85,"New South Wales",4,"Global warming","Labor"
"Female",67,"New South Wales",0,"The cost of living","Labor"
"Male",57,"New South Wales",5,"Management of the economy","Labor"
"Male",48,"New South Wales",6,"The environment","Labor"
"Male",78,"New South Wales",4,"Education","Labor"
"Male",44,"New South Wales",5,"Health and Medicare","Liberal"
"Male",42,"New South Wales",1,"Taxation","Labor"
"Male",59,"New South Wales",2,"Management of the economy","Labor"
"Female",58,"New South Wales",8,"The cost of living","Liberal"
"Male",61,"New South Wales",4,"Taxation","Liberal"
"Female",42,"New South Wales",8,"Management of the economy","Liberal"
"Male",46,"New South Wales",4,"Global warming","Labor"
"Male",39,"New South Wales",5,"National security","Liberal"
"Male",70,"New South Wales",0,"Taxation","Labor"
"Female",76,"New South Wales",4,"Health and Medicare","Labor"
"Female",69,"New South Wales",8,"Taxation","Labor"
"Male",63,"New South Wales",8,"Health and Medicare","Liberal"
"Female",62,"New South Wales",5,"Taxation","Liberal"
"Female",54,"New South Wales",6,"Management of the economy","Liberal"
"Male",45,"New South Wales",7,"Health and Medicare","Liberal"
"Female",40,"New South Wales",5,"The cost of living","Labor"
"Female",51,"New South Wales",5,"Education","Labor"
"Female",87,"New South Wales",8,"The cost of living","Labor"
"Male",71,"New South Wales",5,"Global warming","Labor"
"Male",66,"New South Wales",3,"The cost of living","Labor"
"Male",73,"New South Wales",6,"Management of the economy","Liberal"
"Male",75,"New South Wales",6,"Management of the economy","Liberal"
"Male",37,"New South Wales",7,"The cost of living","Liberal"
"Male",74,"New South Wales",9,"Education","Liberal"
"Male",67,"New South Wales",8,"The cost of living","Liberal"
"Female",54,"New South Wales",1,"The environment","Labor"
"Female",60,"New South Wales",6,"Health and Medicare","Liberal"
"Female",51,"New South Wales",5,"The cost of living","Liberal"
"Male",72,"New South Wales",9,"National security","Liberal"
"Male",58,"New South Wales",2,"Global warming","Labor"
"Female",63,"New South Wales",5,"The environment","Labor"
"Male",37,"New South Wales",4,"The cost of living","Labor"
"Male",34,"New South Wales",7,"Management of the economy","Liberal"
"Female",69,"New South Wales",10,"Taxation","Liberal"
"Female",66,"New South Wales",7,"The COVID-19 pandemic","Liberal"
"Female",30,"New South Wales",1,"Item skipped","Labor"
"Female",48,"New South Wales",7,"The cost of living","Liberal"
"Male",59,"New South Wales",5,"National security","Liberal"
"Male",37,"New South Wales",5,"Management of the economy","Labor"
"Female",64,"New South Wales",0,"Taxation","Liberal"
"Female",28,"New South Wales",4,"The environment","Labor"
"Male",66,"New South Wales",10,"Taxation","Liberal"
"Male",82,"New South Wales",7,"Global warming","Liberal"
"Male",49,"New South Wales",5,"Health and Medicare","Liberal"
"Female",60,"New South Wales",3,"Health and Medicare","Labor"
"Male",42,"New South Wales",7,"The cost of living","Labor"
"Male",58,"New South Wales",5,"Taxation","Labor"
"Female",34,"New South Wales",6,"The cost of living","Labor"
"Female",30,"New South Wales",5,"The cost of living","Labor"
"Female",29,"New South Wales",5,"Global warming","Liberal"
"Female",38,"New South Wales",5,"Health and Medicare","Liberal"
"Female",36,"New South Wales",10,"Immigration","Labor"
"Male",45,"New South Wales",5,"The cost of living","Labor"
"Male",32,"New South Wales",5,"The cost of living","Labor"
"Male",21,"New South Wales",7,"Immigration","Liberal"
"Female",78,"New South Wales",6,"Management of the economy","Liberal"
"Female",59,"New South Wales",3,"The cost of living","Labor"
"Male",52,"New South Wales",5,"The cost of living","Liberal"
"Female",72,"New South Wales",2,"Education","Labor"
"Male",95,"New South Wales",7,"Immigration","Liberal"
"Female",79,"New South Wales",6,"The cost of living","Labor"
"Male",86,"New South Wales",5,"Immigration","Labor"
"Male",54,"New South Wales",6,"The cost of living","Labor"
"Female",64,"New South Wales",5,"The cost of living","Labor"
"Female",61,"New South Wales",5,"The COVID-19 pandemic","Labor"
"Male",69,"New South Wales",6,"Education","Liberal"
"Female",68,"New South Wales",6,"Management of the economy","Liberal"
"Male",66,"New South Wales",5,"The cost of living","Labor"
"Male",62,"New South Wales",1,"The cost of living","Labor"
"Male",68,"New South Wales",4,"The cost of living","Labor"
"Male",54,"New South Wales",5,"The cost of living","Liberal"
"Female",53,"New South Wales",0,"Immigration","Liberal"
"Female",57,"New South Wales",4,"Taxation","Labor"
"Female",62,"New South Wales",6,"Management of the economy","Liberal"
"Male",74,"New South Wales",7,"Health and Medicare","Liberal"
"Female",47,"New South Wales",3,"Refugees and asylum seekers","Labor"
"Male",36,"New South Wales",5,"Health and Medicare","Labor"
"Male",83,"New South Wales",5,"Taxation","Labor"
"Female",66,"New South Wales",0,"The environment","Labor"
"Male",70,"New South Wales",3,"Management of the economy","Labor"
"Male",47,"New South Wales",7,"The cost of living","Liberal"
"Female",37,"New South Wales",5,"The COVID-19 pandemic","Liberal"
"Male",71,"New South Wales",1,"The cost of living","Labor"
"Female",62,"New South Wales",4,"The cost of living","Labor"
"Male",59,"New South Wales",4,"National security","Liberal"
"Male",74,"New South Wales",4,"The environment","Labor"
"Male",71,"New South Wales",5,"Health and Medicare","Liberal"
"Male",82,"New South Wales",7,"Health and Medicare","Liberal"
"Male",73,"New South Wales",5,"Global warming","Labor"
"Male",23,"New South Wales",0,"Management of the economy","Liberal"
"Male",37,"New South Wales",5,"The cost of living","Liberal"
"Male",63,"New South Wales",6,"The cost of living","Liberal"
"Female",77,"New South Wales",3,"Global warming","Labor"
"Female",67,"New South Wales",0,"Global warming","Labor"
"Female",74,"New South Wales",8,"Education","Liberal"
"Female",54,"New South Wales",6,"The cost of living","Liberal"
"Female",79,"New South Wales",5,"The environment","Labor"
"Male",39,"New South Wales",5,"Global warming","Labor"
"Female",46,"New South Wales",10,"The cost of living","Labor"
"Male",66,"New South Wales",1,"Taxation","Liberal"
"Female",29,"New South Wales",5,"The cost of living","Labor"
"Female",55,"New South Wales",5,"The environment","Labor"
"Male",64,"New South Wales",5,"Management of the economy","Liberal"
"Female",68,"New South Wales",1,"The environment","Labor"
"Female",74,"New South Wales",4,"Immigration","Labor"
"Female",46,"New South Wales",3,"Health and Medicare","Labor"
"Female",72,"New South Wales",1,"Management of the economy","Labor"
"Female",87,"New South Wales",3,"Global warming","Labor"
"Male",68,"New South Wales",3,"Global warming","Labor"
"Male",59,"New South Wales",6,"Immigration","Labor"
"Male",37,"New South Wales",8,"Taxation","Labor"
"Female",57,"New South Wales",5,"Management of the economy","Liberal"
"Female",43,"New South Wales",5,"The cost of living","Labor"
"Female",32,"New South Wales",5,"The cost of living","Labor"
"Female",67,"New South Wales",5,"Management of the economy","Liberal"
"Female",66,"New South Wales",3,"Global warming","Labor"
"Female",68,"New South Wales",3,"Taxation","Labor"
"Female",83,"New South Wales",5,"Health and Medicare","Liberal"
"Female",62,"New South Wales",5,"Management of the economy","Labor"
"Female",68,"New South Wales",4,"Global warming","Labor"
"Female",51,"New South Wales",4,"The cost of living","Liberal"
"Male",66,"New South Wales",7,"Management of the economy","Liberal"
"Male",71,"New South Wales",5,"The environment","Labor"
"Female",72,"New South Wales",5,"Management of the economy","Liberal"
"Male",82,"New South Wales",4,"The cost of living","Liberal"
"Male",80,"New South Wales",5,"Global warming","Labor"
"Female",69,"New South Wales",9,"Management of the economy","Liberal"
"Male",54,"New South Wales",4,"Global warming","Labor"
"Female",74,"New South Wales",5,"Item skipped","Liberal"
"Female",29,"New South Wales",4,"The cost of living","Liberal"
"Female",45,"New South Wales",2,"Education","Labor"
"Male",76,"New South Wales",4,"The COVID-19 pandemic","Labor"
"Female",59,"New South Wales",1,"Management of the economy","Liberal"
"Male",79,"New South Wales",7,"National security","Liberal"
"Male",61,"New South Wales",5,"Taxation","Labor"
"Male",74,"New South Wales",4,"Health and Medicare","Labor"
"Female",29,"New South Wales",3,"Health and Medicare","Liberal"
"Female",24,"New South Wales",5,"Global warming","Labor"
"Female",72,"Victoria",10,"The cost of living","Liberal"
"Female",64,"Victoria",2,"The environment","Labor"
"Male",79,"Victoria",1,"Education","Labor"
"Male",61,"Victoria",8,"Management of the economy","Liberal"
"Female",76,"Victoria",2,"Global warming","Labor"
"Male",65,"Victoria",1,"Management of the economy","Labor"
"Male",70,"Victoria",5,"Health and Medicare","Liberal"
"Male",29,"Victoria",5,"Management of the economy","Liberal"
"Female",48,"Victoria",5,"The cost of living","Liberal"
"Female",33,"Victoria",5,"Global warming","Liberal"
"Male",75,"Victoria",9,"National security","Liberal"
"Female",50,"Victoria",5,"The cost of living","Labor"
"Male",71,"Victoria",4,"National security","Labor"
"Female",70,"Victoria",2,"Health and Medicare","Labor"
"Female",61,"Victoria",3,"Health and Medicare","Labor"
"Male",66,"Victoria",4,"National security","Labor"
"Female",69,"Victoria",3,"The environment","Labor"
"Male",21,"Victoria",4,"The cost of living","Labor"
"Male",71,"Victoria",5,"The cost of living","Labor"
"Female",65,"Victoria",8,"Immigration","Liberal"
"Male",83,"Victoria",1,"Global warming","Labor"
"Female",38,"Victoria",7,"Taxation","Labor"
"Female",70,"Victoria",3,"Global warming","Labor"
"Male",65,"Victoria",6,"Taxation","Labor"
"Male",68,"Victoria",5,"Management of the economy","Labor"
"Female",67,"Victoria",4,"Global warming","Labor"
"Female",35,"Victoria",3,"Health and Medicare","Labor"
"Male",40,"Victoria",9,"Taxation","Liberal"
"Male",84,"Victoria",6,"Education","Labor"
"Male",80,"Victoria",5,"Health and Medicare","Labor"
"Male",31,"Victoria",2,"Global warming","Labor"
"Female",50,"Victoria",7,"Health and Medicare","Liberal"
"Male",61,"Victoria",4,"Management of the economy","Labor"
"Male",67,"Victoria",5,"National security","Liberal"
"Female",71,"Victoria",3,"Education","Labor"
"Female",64,"Victoria",5,"Education","Liberal"
"Female",55,"Victoria",1,"Global warming","Labor"
"Female",68,"Victoria",10,"Taxation","Liberal"
"Female",48,"Victoria",5,"Health and Medicare","Labor"
"Male",64,"Victoria",5,"The cost of living","Labor"
"Male",69,"Victoria",3,"Management of the economy","Labor"
"Female",72,"Victoria",6,"Management of the economy","Liberal"
"Male",56,"Victoria",4,"Health and Medicare","Liberal"
"Male",78,"Victoria",3,"Global warming","Labor"
"Male",87,"Victoria",2,"The environment","Labor"
"Female",24,"Victoria",0,"Global warming","Labor"
"Male",70,"Victoria",8,"Management of the economy","Liberal"
"Female",76,"Victoria",8,"Global warming","Liberal"
"Male",67,"Victoria",8,"Health and Medicare","Liberal"
"Male",64,"Victoria",2,"The environment","Labor"
"Female",66,"Victoria",0,"Health and Medicare","Liberal"
"Male",71,"Victoria",8,"Management of the economy","Liberal"
"Female",26,"Victoria",4,"Taxation","Liberal"
"Female",55,"Victoria",0,"The environment","Labor"
"Male",60,"Victoria",7,"Management of the economy","Liberal"
"Male",59,"Victoria",5,"National security","Liberal"
"Male",82,"Victoria",8,"National security","Liberal"
"Female",68,"Victoria",5,"The environment","Labor"
"Male",86,"Victoria",10,"Management of the economy","Liberal"
"Male",66,"Victoria",5,"The cost of living","Labor"
"Female",60,"Victoria",2,"Global warming","Liberal"
"Female",63,"Victoria",8,"Management of the economy","Liberal"
"Male",72,"Victoria",4,"The environment","Labor"
"Male",48,"Victoria",5,"The cost of living","Liberal"
"Male",67,"Victoria",5,"Management of the economy","Labor"
"Female",66,"Victoria",6,"Taxation","Liberal"
"Female",43,"Victoria",1,"Global warming","Labor"
"Female",72,"Victoria",8,"Taxation","Liberal"
"Female",52,"Victoria",6,"The cost of living","Labor"
"Male",39,"Victoria",6,"The cost of living","Labor"
"Female",81,"Victoria",7,"Health and Medicare","Labor"
"Female",71,"Victoria",5,"The cost of living","Labor"
"Female",43,"Victoria",3,"Management of the economy","Labor"
"Female",57,"Victoria",5,"Taxation","Liberal"
"Female",45,"Victoria",1,"The environment","Labor"
"Male",24,"Victoria",7,"The COVID-19 pandemic","Labor"
"Female",72,"Victoria",2,"Global warming","Labor"
"Male",70,"Victoria",4,"Taxation","Labor"
"Male",68,"Victoria",7,"The cost of living","Liberal"
"Male",55,"Victoria",3,"Management of the economy","Labor"
"Female",74,"Victoria",0,"The cost of living","Labor"
"Female",42,"Victoria",5,"The cost of living","Labor"
"Male",49,"Victoria",7,"Taxation","Liberal"
"Female",65,"Victoria",5,"Taxation","Labor"
"Female",51,"Victoria",5,"Health and Medicare","Labor"
"Male",63,"Victoria",6,"The environment","Liberal"
"Female",24,"Victoria",3,"Immigration","Labor"
"Male",36,"Victoria",1,"Management of the economy","Labor"
"Male",57,"Victoria",2,"Global warming","Labor"
"Female",39,"Victoria",0,"Global warming","Labor"
"Female",70,"Victoria",7,"National security","Liberal"
"Male",72,"Victoria",5,"Management of the economy","Labor"
"Female",52,"Victoria",5,"Health and Medicare","Labor"
"Male",40,"Victoria",7,"Immigration","Labor"
"Female",38,"Victoria",3,"Global warming","Labor"
"Male",40,"Victoria",4,"The COVID-19 pandemic","Labor"
"Male",63,"Victoria",8,"The cost of living","Liberal"
"Female",53,"Victoria",10,"Taxation","Liberal"
"Male",50,"Victoria",1,"Immigration","Labor"
"Female",37,"Victoria",5,"Management of the economy","Liberal"
"Male",68,"Victoria",7,"Management of the economy","Labor"
"Male",69,"Victoria",4,"Global warming","Labor"
"Male",79,"Victoria",6,"Management of the economy","Labor"
"Female",70,"Victoria",5,"Education","Liberal"
"Female",50,"Victoria",3,"Global warming","Labor"
"Female",40,"Victoria",10,"The cost of living","Labor"
"Male",40,"Victoria",4,"Global warming","Labor"
"Female",56,"Victoria",3,"Health and Medicare","Labor"
"Male",59,"Victoria",7,"Management of the economy","Liberal"
"Male",53,"Victoria",5,"The cost of living","Liberal"
"Female",32,"Victoria",3,"Health and Medicare","Labor"
"Male",50,"Victoria",7,"Management of the economy","Liberal"
"Male",70,"Victoria",5,"Management of the economy","Liberal"
"Female",85,"Victoria",10,"Immigration","Labor"
"Female",44,"Victoria",4,"Health and Medicare","Labor"
"Female",26,"Victoria",5,"The cost of living","Labor"
"Male",43,"Victoria",3,"Taxation","Labor"
"Female",74,"Victoria",6,"Immigration","Liberal"
"Male",46,"Victoria",7,"The cost of living","Liberal"
"Female",53,"Victoria",5,"The environment","Liberal"
"Male",42,"Victoria",5,"Management of the economy","Labor"
"Male",30,"Victoria",2,"Management of the economy","Labor"
"Male",38,"Victoria",5,"The cost of living","Liberal"
"Male",50,"Victoria",8,"Management of the economy","Liberal"
"Male",21,"Victoria",3,"Global warming","Labor"
"Female",40,"Victoria",8,"Taxation","Liberal"
"Female",54,"Victoria",5,"The cost of living","Labor"
"Male",81,"Victoria",8,"Taxation","Liberal"
"Male",39,"Victoria",7,"Management of the economy","Liberal"
"Female",59,"Victoria",2,"Immigration","Labor"
"Male",50,"Victoria",5,"Global warming","Labor"
"Male",61,"Victoria",7,"Management of the economy","Liberal"
"Female",42,"Victoria",5,"The cost of living","Liberal"
"Male",77,"Victoria",3,"Global warming","Labor"
"Female",37,"Victoria",10,"Taxation","Liberal"
"Female",68,"Victoria",5,"Health and Medicare","Liberal"
"Male",21,"Victoria",4,"The cost of living","Labor"
"Male",73,"Victoria",7,"Management of the economy","Liberal"
"Male",76,"Victoria",10,"Taxation","Liberal"
"Male",76,"Victoria",6,"Management of the economy","Liberal"
"Female",68,"Victoria",6,"Education","Labor"
"Female",59,"Victoria",0,"Taxation","Liberal"
"Male",84,"Victoria",5,"The COVID-19 pandemic","Labor"
"Male",56,"Victoria",5,"Management of the economy","Labor"
"Female",67,"Victoria",2,"Global warming","Labor"
"Male",83,"Victoria",5,"Management of the economy","Liberal"
"Female",47,"Victoria",4,"The cost of living","Liberal"
"Male",61,"Victoria",9,"Management of the economy","Liberal"
"Female",41,"Victoria",5,"Taxation","Labor"
"Female",67,"Victoria",3,"The environment","Labor"
"Male",40,"Victoria",0,"The COVID-19 pandemic","Liberal"
"Female",68,"Victoria",6,"National security","Liberal"
"Male",49,"Victoria",5,"Management of the economy","Liberal"
"Female",28,"Victoria",3,"The cost of living","Labor"
"Male",75,"Victoria",5,"National security","Liberal"
"Female",73,"Victoria",5,"Management of the economy","Liberal"
"Male",79,"Victoria",8,"Education","Liberal"
"Female",70,"Victoria",3,"Taxation","Labor"
"Female",29,"Victoria",5,"The cost of living","Labor"
"Female",53,"Victoria",5,"Global warming","Labor"
"Female",66,"Victoria",8,"National security","Liberal"
"Female",33,"Victoria",5,"The cost of living","Labor"
"Female",44,"Victoria",10,"The cost of living","Liberal"
"Male",60,"Victoria",5,"Management of the economy","Liberal"
"Female",49,"Victoria",5,"Management of the economy","Liberal"
"Female",47,"Victoria",7,"The cost of living","Labor"
"Female",53,"Victoria",5,"The environment","Labor"
"Male",45,"Victoria",5,"Education","Labor"
"Female",41,"Victoria",0,"Management of the economy","Liberal"
"Male",28,"Victoria",4,"Taxation","Labor"
"Female",88,"Victoria",5,"Taxation","Liberal"
"Male",57,"Victoria",10,"The environment","Labor"
"Female",68,"Queensland",6,"Taxation","Liberal"
